Start Timestamp,,,,End Timestamp,,,,,,Reason Code,,,,,,,,,Time (Fmt),,
7/26/2022 6:27:20 PM,,,,07/26/2022 06:28:54 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:34,,
7/26/2022 6:33:42 PM,,,,07/26/2022 06:34:36 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:00:54,,
7/26/2022 6:37:17 PM,,,,07/26/2022 06:43:38 PM,,,,,,ReasonCodeDescription=WorkQueue,,,,,,,,,00:06:21,,
7/26/2022 6:44:43 PM,,,,07/26/2022 06:45:38 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:00:55,,
7/26/2022 6:58:03 PM,,,,07/26/2022 06:59:46 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:43,,
7/26/2022 7:02:20 PM,,,,07/26/2022 07:02:44 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:00:24,,
7/27/2022 8:38:52 AM,,,,07/27/2022 08:41:47 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:55,,
7/27/2022 8:48:22 AM,,,,07/27/2022 08:51:17 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:55,,
7/27/2022 9:11:46 AM,,,,07/27/2022 09:13:31 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:45,,
7/27/2022 9:14:38 AM,,,,07/27/2022 09:17:36 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:58,,
7/27/2022 9:19:58 AM,,,,07/27/2022 09:25:01 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:05:03,,
7/27/2022 9:36:59 AM,,,,07/27/2022 09:38:41 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:42,,
7/27/2022 9:41:15 AM,,,,07/27/2022 09:43:12 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:57,,
7/27/2022 9:45:35 AM,,,,07/27/2022 09:48:54 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:19,,
7/27/2022 9:55:02 AM,,,,07/27/2022 09:55:55 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:00:53,,
7/27/2022 10:04:34 AM,,,,07/27/2022 10:06:30 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:56,,
7/27/2022 10:13:30 AM,,,,07/27/2022 10:16:01 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:31,,
7/27/2022 10:19:51 AM,,,,07/27/2022 10:21:43 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:52,,
7/27/2022 10:24:17 AM,,,,07/27/2022 10:25:15 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:00:58,,
7/27/2022 10:25:15 AM,,,,07/27/2022 10:29:12 AM,,,,,,ReasonCodeDescription=Break,,,,,,,,,00:03:57,,
7/27/2022 10:29:54 AM,,,,07/27/2022 10:32:30 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:36,,
7/27/2022 10:41:54 AM,,,,07/27/2022 10:44:42 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:48,,
7/27/2022 10:53:30 AM,,,,07/27/2022 10:57:00 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:30,,
7/27/2022 11:02:43 AM,,,,07/27/2022 11:05:39 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:56,,
7/27/2022 11:12:11 AM,,,,07/27/2022 11:14:04 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:53,,
7/27/2022 11:15:21 AM,,,,07/27/2022 11:17:18 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:57,,
7/27/2022 11:23:38 AM,,,,07/27/2022 11:25:00 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:22,,
7/27/2022 11:26:06 AM,,,,07/27/2022 11:27:52 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:46,,
7/27/2022 11:44:49 AM,,,,07/27/2022 11:48:28 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:39,,
7/27/2022 11:55:13 AM,,,,07/27/2022 11:58:14 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:01,,
7/27/2022 11:59:23 AM,,,,07/27/2022 12:01:51 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:28,,
7/27/2022 12:03:03 PM,,,,07/27/2022 12:06:40 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:37,,
7/27/2022 12:07:44 PM,,,,07/27/2022 12:10:39 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:55,,
7/27/2022 12:14:30 PM,,,,07/27/2022 12:16:08 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:38,,
7/27/2022 12:22:16 PM,,,,07/27/2022 12:25:30 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:14,,
7/27/2022 12:27:57 PM,,,,07/27/2022 12:29:35 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:38,,
7/27/2022 12:29:35 PM,,,,07/27/2022 12:34:42 PM,,,,,,ReasonCodeDescription=Break,,,,,,,,,00:05:07,,
7/27/2022 12:35:18 PM,,,,07/27/2022 12:37:15 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:57,,
7/27/2022 12:45:21 PM,,,,07/27/2022 12:49:55 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:34,,
7/27/2022 1:00:04 PM,,,,07/27/2022 02:01:41 PM,,,,,,ReasonCodeDescription=WorkQueue,,,,,,,,,01:01:37,,
7/27/2022 2:01:41 PM,,,,07/27/2022 03:00:26 PM,,,,,,ReasonCodeDescription=Lunch,,,,,,,,,00:58:45,,
7/27/2022 3:10:19 PM,,,,07/27/2022 03:14:15 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:56,,
7/27/2022 3:24:15 PM,,,,07/27/2022 03:29:09 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:54,,
7/27/2022 3:32:06 PM,,,,07/27/2022 03:33:25 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:19,,
7/27/2022 3:37:10 PM,,,,07/27/2022 03:40:04 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:54,,
7/27/2022 3:42:13 PM,,,,07/27/2022 03:50:26 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:08:13,,
7/27/2022 3:52:40 PM,,,,07/27/2022 03:56:19 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:39,,
7/27/2022 3:57:00 PM,,,,07/27/2022 03:59:20 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:20,,
7/27/2022 4:06:20 PM,,,,07/27/2022 04:10:57 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:37,,
7/27/2022 4:16:10 PM,,,,07/27/2022 04:18:19 PM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:09,,
